feature,coef
carat,5116.673948049634
x,-1005.79844102926
clarity,827.4624200920089
color,547.4495759510702
cut,134.37755676310928
depth,-120.28825523720764
table,-59.218890613637
y,28.690265961895932
z,15.6721940208042
