Threshold,Precision,Recall,F1
0.3,0.9567,0.9884,0.9723
0.4,0.9699,0.9808,0.9753
0.5,0.9781,0.9717,0.9749
0.6,0.9849,0.9612,0.9729
0.7,0.989,0.9474,0.9677
