feature,importance
y,0.38458125552736677
x,0.21150531296708508
carat,0.1989823271707657
z,0.12090088950794935
clarity,0.03799560873247201
color,0.030553288196338062
depth,0.0060655687578744216
cut,0.004936905638572403
table,0.004478843501576136
